country.iso,country.name,num_u,num_contrib,gini,pr_total,pr_questions,pr_answers,pr_comments,pr_editions,particip_lower,particip_upper,var,IDV,GNI,Internet,English,WVS
DZA,Algeria,54,142,0.7976004173,0.4444444444,0.2777777778,0.2592592593,0.2777777778,0.03703703704,0.3200246417,0.5762435347,0.256218893,NA,4110,14,38.51,NA
IDN,Indonesia,391,931,0.8423030539,0.4219948849,0.2762148338,0.2173913043,0.2327365729,0.02046035806,0.3740336299,0.4714739818,0.09744035188,14,3420,12.3,52.74,-0.8
UGA,Uganda,29,61,0.8027133974,0.4137931034,0.275862069,0.2068965517,0.2068965517,0,0.2551317734,0.5926216401,0.3374898667,NA,440,13,NA,-0.5
PRT,Portugal,621,2352,0.8926366843,0.4380032206,0.2753623188,0.2463768116,0.2351046699,0.02737520129,0.399480789,0.4772879515,0.07780716247,27,20580,57.8,56.83,0.49
ISL,Iceland,84,167,0.8200028514,0.4404761905,0.2738095238,0.2261904762,0.2738095238,0.0119047619,0.3392295563,0.5469289828,0.2076994265,NA,38710,95,NA,1.63
MYS,Malaysia,271,703,0.8497162923,0.4206642066,0.2730627306,0.2029520295,0.2324723247,0.007380073801,0.3633992378,0.4801469281,0.1167476903,26,9800,61,59.73,0.09
NOR,Norway,834,4128,0.8829599111,0.4712230216,0.2709832134,0.3033573141,0.2673860911,0.04436450839,0.437554706,0.505155219,0.06760051297,69,98860,94,64.33,2.17
AUT,Austria,667,4124,0.9150684115,0.4557721139,0.2698650675,0.2743628186,0.2788605697,0.04797601199,0.4183365852,0.4937141696,0.07537758439,55,48160,79.8,63.21,1.43
ARG,Argentina,561,2047,0.875598132,0.4260249554,0.2673796791,0.2459893048,0.2299465241,0.03386809269,0.3857448015,0.4673113106,0.08156650913,46,NA,51,59.02,0.38
PER,Peru,101,946,0.9340841061,0.4455445545,0.2673267327,0.2673267327,0.2475247525,0.05940594059,0.3523795054,0.542700169,0.1903206635,16,5880,36,51.46,0.03
MAR,Morocco,75,89,0.7778277154,0.3866666667,0.2666666667,0.1733333333,0.16,0.01333333333,0.2845521711,0.4998252332,0.215273062,25,2950,53,42.43,-1.04
BHR,Bahrain,15,25,0.8,0.4,0.2666666667,0.2,0.2,0,0.1982449614,0.6425316988,0.4442867374,NA,14820,77,NA,NA
THA,Thailand,201,615,0.8661408405,0.4427860697,0.263681592,0.2587064677,0.223880597,0.01990049751,0.3758289164,0.5118891259,0.1360602095,20,5210,23.7,47.79,0.01
GTM,Guatemala,38,57,0.798245614,0.4473684211,0.2631578947,0.2631578947,0.1578947368,0,0.30146401,0.6029370288,0.3014730188,6,3140,12.3,45.77,-0.17
LTU,Lithuania,207,7480,0.9842413909,0.3961352657,0.2608695652,0.2222222222,0.2222222222,0.02898550725,0.3319826339,0.464072657,0.1320900231,60,13920,65.1,NA,-1
JOR,Jordan,92,139,0.8726149515,0.3152173913,0.2608695652,0.1195652174,0.1413043478,0.01086956522,0.2293143692,0.4159331008,0.1866187316,NA,4720,34.9,47.82,-1.05
NIC,Nicaragua,23,20,0.7565217391,0.3913043478,0.2608695652,0.2608695652,0.08695652174,0,0.2215762279,0.5921447761,0.3705685482,NA,1650,10.6,NA,NA
MDA,"Moldova, Republic of",54,134,0.8225538972,0.4259259259,0.2592592593,0.2222222222,0.2592592593,0.01851851852,0.3033182402,0.5583726617,0.2550544215,NA,2250,38,NA,-1.28
CHL,Chile,214,1246,0.9181155398,0.4252336449,0.2570093458,0.2523364486,0.2336448598,0.04205607477,0.360888463,0.4922157157,0.1313272526,23,14280,52.3,48.75,0
TUR,Turkey,791,4507,0.9415599333,0.3742098609,0.2553729456,0.188369153,0.2174462705,0.02528445006,0.3411704654,0.4084651408,0.0672946754,37,10830,43.1,47.8,-0.33
CRI,Costa Rica,51,133,0.8199911544,0.3921568627,0.2549019608,0.1568627451,0.2549019608,0.03921568627,0.2702734098,0.5291484102,0.2588750003,15,8740,42.1,48.53,NA
MEX,Mexico,495,1437,0.8828521822,0.395959596,0.2505050505,0.2363636364,0.2141414141,0.02828282828,0.353836714,0.4396848585,0.08584814454,30,9600,35,49.83,1.03
KAZ,Kazakhstan,48,148,0.8955518018,0.375,0.25,0.1875,0.1458333333,0.04166666667,0.2521526676,0.5163723648,0.2642196972,NA,9750,50.6,42.97,NA
NAM,Namibia,8,15,0.7083333333,0.375,0.25,0.375,0.25,0.125,0.1368442858,0.6942576054,0.5574133196,NA,5640,12,NA,NA
LBY,Libya,8,13,0.7788461538,0.375,0.25,0.25,0.25,0,0.1368442858,0.6942576054,0.5574133196,NA,NA,14,38.19,NA
MNE,Montenegro,8,34,0.8602941176,0.25,0.25,0.125,0.25,0.125,0.07147921275,0.5907245697,0.5192453569,NA,6940,40,NA,-1.24
CIV,Cote d'Ivoire,4,3,0.25,0.75,0.25,0.5,0,0,0.3006418426,0.9544127392,0.6537708966,NA,1220,2.2,NA,NA
SUR,Suriname,4,2,0.5,0.5,0.25,0.25,0,0,0.1500389892,0.8499610108,0.6999220217,47,8480,32,NA,NA
BLZ,Belize,4,1,0.75,0.25,0.25,0,0,0,0.04558726081,0.6993581574,0.6537708966,NA,4180,18.7,NA,NA
GIB,Gibraltar,4,1,0.75,0.25,0.25,0,0,0,0.04558726081,0.6993581574,0.6537708966,NA,NA,NA,NA,NA
SOM,Somalia,4,5,0.75,0.25,0.25,0.25,0.25,0,0.04558726081,0.6993581574,0.6537708966,NA,NA,1.3,NA,NA
BGR,Bulgaria,335,982,0.8651366386,0.4298507463,0.247761194,0.247761194,0.2149253731,0.02089552239,0.3779288272,0.4833632349,0.1054344077,30,6870,51,NA,-1.01
VNM,Viet Nam,254,1443,0.9460141547,0.3818897638,0.2440944882,0.1692913386,0.1929133858,0.02755905512,0.3243207371,0.4429781284,0.1186573913,20,1400,35.1,51.57,-0.26
RUS,Russian Federation,1903,6503,0.9096462128,0.3825538623,0.2427745665,0.2091434577,0.1954808198,0.02679978981,0.3609751158,0.404605815,0.04363069921,39,12700,49,50.44,-1.42
UZB,Uzbekistan,21,21,0.7845804989,0.2857142857,0.2380952381,0.09523809524,0.2380952381,0,0.1381386295,0.4995638072,0.3614251776,NA,1720,30.2,NA,NA
KOR,"Korea, Republic of",195,782,0.9325726277,0.3282051282,0.2358974359,0.1435897436,0.1897435897,0.01538461538,0.2661739377,0.3968741992,0.1307002615,18,22670,83.8,53.62,-1.37
FRA,France,2440,14214,0.9211189845,0.4524590164,0.2331967213,0.2782786885,0.2442622951,0.04180327869,0.4327998591,0.4722676325,0.03946777339,71,41750,79.6,52.69,1.13
JPN,Japan,483,1260,0.8700877452,0.3830227743,0.231884058,0.2091097308,0.2215320911,0.01863354037,0.3407540847,0.427137499,0.08638341434,46,47870,79.1,52.88,-0.05
CHN,China,1359,3286,0.9050127707,0.353200883,0.2310522443,0.178807947,0.1640912436,0.01839587932,0.3282354194,0.3789939157,0.05075849632,20,5680,38.3,50.15,-1.16
UKR,Ukraine,936,1829,0.8610556186,0.3696581197,0.2307692308,0.1912393162,0.186965812,0.01602564103,0.3393253449,0.4010563995,0.0617310546,NA,3500,28.7,48.5,-0.83
COL,Colombia,219,351,0.8612314457,0.3470319635,0.2237442922,0.1369863014,0.196347032,0.02739726027,0.2871131925,0.4122246221,0.1251114296,13,6990,40.4,48.54,0.6
EGY,Egypt,333,632,0.868637625,0.3513513514,0.2222222222,0.1591591592,0.1651651652,0.009009009009,0.3020371168,0.4040560691,0.1020189523,25,3000,95,42.13,-0.54
BGD,Bangladesh,363,742,0.9086453855,0.2947658402,0.2203856749,0.1212121212,0.1542699725,0.02479338843,0.2502088093,0.3436211779,0.09341236861,20,840,5,NA,-0.93
