country.iso,country.name,num_u,num_contrib,gini,pr_total,particip_lower,particip_upper,var,pr_questions,pr_answers,pr_comments,pr_editions,IDV,GNI,Internet,English,WVS
BGR,Bulgaria,1463,98845,0.9282588331,0.7142857143,0.6905992822,0.7368497759,0.04625049377,0.5140123035,0.5680109364,0.2863978127,0.1148325359,30,6870,51,NA,-1.01
NGA,Nigeria,705,8015,0.8743124372,0.6368794326,0.6007278829,0.6715473877,0.07081950475,0.4780141844,0.4170212766,0.1234042553,0.04539007092,30,1430,28.4,NA,0.28
IRQ,Iraq,145,619,0.8317085399,0.5172413793,0.4365169335,0.5970758574,0.160558924,0.4344827586,0.2965517241,0.06896551724,0.04827586207,30,5870,5,38.02,-1.68
PHL,Philippines,2860,88396,0.9055742405,0.6776223776,0.6602645853,0.6945036568,0.0342390714,0.5741258741,0.4325174825,0.198951049,0.07797202797,32,2470,29,NA,-0.11
HRV,Croatia,1069,62338,0.9210118614,0.7165575304,0.6888036177,0.7427606141,0.05395699639,0.536950421,0.5453695042,0.285313377,0.1085126286,33,13290,59.6,NA,0.31
GRC,Greece,2068,93122,0.9132747677,0.6972920696,0.6771400224,0.7167125074,0.03957248499,0.5502901354,0.5120889749,0.252901354,0.1063829787,35,23260,53,NA,0.55
ZMB,Zambia,47,875,0.9523647416,0.4893617021,0.3527555503,0.6275754625,0.2748199122,0.4468085106,0.2127659574,0.02127659574,0.02127659574,35,1350,11.5,NA,-0.62
URY,Uruguay,569,11397,0.8415170458,0.7065026362,0.6678023472,0.7424333234,0.07463097618,0.5184534271,0.5676625659,0.2618629174,0.1019332162,36,13510,51.4,49.61,0.99
TUR,Turkey,4506,108674,0.8900743801,0.6426986241,0.6285907083,0.65656344,0.02797273169,0.5053262317,0.4675987572,0.218153573,0.08810474922,37,10830,43.1,47.8,-0.33
BRA,Brazil,10717,211485,0.8956712832,0.6458897079,0.6367844992,0.6548903671,0.01810586789,0.4658019968,0.4826910516,0.2038816833,0.08351217692,38,11630,45,49.96,0.81
RUS,Russian Federation,10705,311941,0.8986201919,0.6751985054,0.6662658857,0.6840054312,0.01773954555,0.485941149,0.5177020084,0.2407286315,https://docs.google.com/spreadsheets/d/1qL3VVuC1unDlKVzQjGMll-v8IW4eROj1GLt_BFEjdnw/edit#gid=670992132,39,12700,49,50.44,-1.42
JAM,Jamaica,109,2363,0.9157384292,0.6422018349,0.5487844359,0.7259372871,0.1771528512,0.5412844037,0.3944954128,0.1376146789,0.06422018349,39,5140,37.5,69.24,NA
LBN,Lebanon,401,14636,0.8562762266,0.7705735661,0.7269681693,0.8090441271,0.08207595781,0.6658354115,0.5511221945,0.2967581047,0.1197007481,40,9190,52,NA,NA
IRN,"Iran, Islamic Republic of",3158,82287,0.8835457947,0.6722609246,0.6556892518,0.6884140229,0.03272477107,0.5576314123,0.4699176694,0.2096263458,0.1117796073,41,NA,100,41.83,-0.45
ARG,Argentina,2798,88843,0.8991987955,0.7126518942,0.6956018462,0.7291188303,0.03351698414,0.5210864904,0.5357398142,0.2533952823,0.09256611866,46,NA,51,59.02,0.38
JPN,Japan,2692,80179,0.9245936428,0.6073551263,0.5887674026,0.6256368971,0.03686949447,0.4283060921,0.4487369985,0.1924219911,0.08618127786,46,47870,79.1,52.88,-0.05
SUR,Suriname,9,32,0.6527777778,0.7777777778,0.4525889691,0.9367748929,0.4841859238,0.5555555556,0.4444444444,0.1111111111,0,47,8480,32,NA,NA
IND,India,70970,2019057,0.8928154339,0.6938706496,0.6904694298,0.6972508828,0.006781452966,0.5814428632,0.4558264055,0.2022967451,0.09474425814,48,1530,10.1,53.54,-0.21
ESP,Spain,7349,210840,0.8997738714,0.6829500612,0.6722180388,0.6934909208,0.02127288207,0.5033337869,0.5263301129,0.2345897401,0.09280174173,51,30110,67.6,57.18,0.54
SVK,Slovakia,861,53971,0.9128954292,0.7479674797,0.7179083692,0.7758237428,0.05791537354,0.5795586527,0.5702671312,0.3159117305,0.1335656214,52,17180,74.4,55.96,-0.43
ISR,Israel,2963,251348,0.8668887947,0.82720216,0.8131676135,0.8403893854,0.02722177187,0.6905163685,0.6736415795,0.4168072899, ,54,28380,68.9,NA,0.36
AUT,Austria,2518,137698,0.8861867375,0.7819698173,0.7654191243,0.797661475,0.03224235078,0.5933280381,0.631056394,0.3502779984,0.149324861,55,48160,79.8,63.21,1.43
CZE,Czech Republic,2703,132956,0.9050914755,0.7336293008,0.7166412208,0.749954263,0.03331304219,0.5427302997,0.5749167592,0.2996670366,0.1176470588,58,18130,73,57.42,0.38
MLT,Malta,255,20058,0.9253791456,0.8196078431,0.7677821905,0.8619469137,0.09416472322,0.7254901961,0.568627451,0.3058823529,0.1098039216,59,19760,69.2,66.48,-0.03
POL,Poland,6069,236258,0.8727962903,0.7477343879,0.7366532319,0.7585021283,0.02184889641,0.5671445049,0.5832921404,0.3112539133,0.1263799638,60,12660,64.9,64.26,-0.14
LTU,Lithuania,850,28572,0.8623447884,0.7611764706,0.7313789678,0.7886238915,0.05724492365,0.5694117647,0.6011764706,0.2976470588,0.1270588235,60,13920,65.1,NA,-1
EST,Estonia,621,42083,0.9044192745,0.7713365539,0.7366968039,0.8026400074,0.06594320349,0.5813204509,0.5958132045,0.3220611916,0.1417069243,60,15830,76.5,61.39,-1.19
LUX,Luxembourg,180,8366,0.895945228,0.6777777778,0.6064074761,0.741718569,0.1353110929,0.5111111111,0.5333333333,0.2722222222,0.1277777778,60,76960,90.9,NA,1.13
FIN,Finland,2046,101551,0.9005315196,0.7072336266,0.6871430802,0.72654745,0.03940436979,0.4892473118,0.5850439883,0.3142717498,0.1295210166,63,46940,89.4,64.4,1.12
ZAF,South Africa,3728,128510,0.8983110648,0.7336373391,0.7192119378,0.7475817401,0.02836980235,0.5869098712,0.5268240343,0.2432939914,0.1091738197,65,7610,34,NA,-0.1
DEU,Germany,18374,1271572,0.9045283381,0.7799063895,0.77385761,0.7858381532,0.01198054319,0.5976379667,0.6164144987,0.3435833243,0.1609883531,67,44010,83,60.89,0.44
CHE,Switzerland,3623,280795,0.9079628212,0.7849848192,0.7713090222,0.7980569188,0.02674789655,0.6028153464,0.6351090257,0.359922716,0.1686447695,68,82730,85.2,58.29,1.9
NOR,Norway,3128,164488,0.8958615332,0.7707800512,0.755723092,0.7851727427,0.0294496507,0.5882352941,0.5997442455,0.341112532,0.1246803069,69,98860,94,64.33,2.17
IRL,Ireland,2884,131275,0.8949275972,0.7680305132,0.7522753283,0.78307262,0.03079729167,0.6126907074,0.556518724,0.2850208044,0.1203190014,70,38970,76.8,69.47,1.18
LVA,Latvia,673,29678,0.8860826862,0.7325408618,0.6978485294,0.7645935919,0.06674506248,0.5572065379,0.5690936107,0.3209509658,0.1084695394,70,14200,71.7,59.43,-1.27
FRA,France,11450,527367,0.901141949,0.7550218341,0.7470596531,0.7628129535,0.01575330037,0.5503056769,0.5910043668,0.2928384279,0.1315283843,71,41750,79.6,52.69,1.13
SWE,Sweden,6980,377744,0.8977460357,0.7689111748,0.758875975,0.7786505457,0.01977457067,0.5938395415,0.6012893983,0.3345272206,0.1389684814,71,56210,94,67.8,2.35
DNK,Denmark,4029,208612,0.9146371395,0.7666914867,0.7533817454,0.7794931573,0.02611141183,0.6212459667,0.5567138248,0.2894018367,0.115909655,74,59770,90,69.3,1.87
BEL,Belgium,4275,202069,0.8777071465,0.781754386,0.7691224882,0.7938803768,0.02475788861,0.6088888889,0.6081871345,0.3202339181,0.1466666667,75,44990,78,61.21,1.13
ITA,Italy,6822,258852,0.8964299999,0.7453825858,0.7349087285,0.7555802493,0.02067152082,0.5891234242,0.5291703313,0.2554969217,0.1058340663,76,33840,56.8,52.8,0.6
NZL,New Zealand,2883,200532,0.9035872661,0.7943114811,0.7791699085,0.8086697855,0.02949987699,0.6264308012,0.6181061394,0.3489420742,0.1560874089,79,30620,86,69.3,1.86
CAN,Canada,17591,918104,0.8936250614,0.7700528679,0.7637759293,0.776211886,0.01243595675,0.5987720994,0.6015007674,0.3284065715,0.1347279859,80,50970,83,65.4,1.91
NLD,Netherlands,9298,595301,0.9080652474,0.7865132287,0.7780668043,0.7947230055,0.01665620121,0.5953968595,0.6167993117,0.3280275328,0.149709615,80,48250,92.3,68.99,1.39
HUN,Hungary,1842,74398,0.8913375749,0.713897937,0.6928307909,0.7340747791,0.04124398819,0.5086862106,0.5602605863,0.2920738328,0.1167209555,80,12370,70,58.55,-1.22
GBR,United Kingdom,35304,2661678,0.9090930281,0.7899388171,0.7856581999,0.7941563442,0.008498144322,0.6314581917,0.6037842737,0.3348629051,0.1514276003,89,38250,86.8,69.2,1.68
